actor,movie_or_TV_name
Anthony Lang,John and Julie
Anthony Lang,The Colditz Story
Anthony Lang,Happy Holidays
Anthony Lang,The Gentle Falcon
Anthony Lang,The Good Die Young
Anthony Lang,Bunty Wins a Pup
Anthony Lang,Trouble in Store
Anthony Lang,The Nine Days' Wonder
Anthony Lang,The Story of the Treasure Seekers
Anthony Lang,The Broken Horseshoe
Anthony Lang,Skippy Smith Goes to the Circus
Anthony Lang,Skid Kids
Anthony Lang,Asmodée
Anthony Lang,A Doll's House
Anthony Lang,Anne of Green Gables
Anthony Lang,Tony Draws a Horse
Anthony Lang,Saraband
Paul Klein,Star Wars: Episode VI - Return of the Jedi
Paul Klein,Star Wars: Episode V - The Empire Strikes Back
Julius LeFlore,In the Cut
Julius LeFlore,13 Moons
Julius LeFlore,L.A. Doctors
Julius LeFlore,Police Academy: Mission to Moscow
Julius LeFlore,Undercover Blues
Julius LeFlore,Raven
Julius LeFlore,Renegade
Julius LeFlore,Ring of the Musketeers
Julius LeFlore,South Central
Julius LeFlore,Hell Comes to Frogtown
Julius LeFlore,The Monster Squad
Julius LeFlore,Maximum Overdrive
Julius LeFlore,Vamp
Julius LeFlore,Silver Bullet
Julius LeFlore,Doin' Time
Julius LeFlore,Star Wars: Episode VI - Return of the Jedi
Julius LeFlore,The Renegades
Julius LeFlore,Night Shift
Julius LeFlore,Rocky III
Julius LeFlore,Man from Atlantis
Michael Josephs,Star Wars: Episode VI - Return of the Jedi
Michael Josephs,Eye of the Needle
Michael Josephs,Force 10 from Navarone
Eiji Kusuhara,Mini Ninjas
Eiji Kusuhara,Concerning Heaven and Hell
Eiji Kusuhara,Robotboy
Eiji Kusuhara,Hustle
Eiji Kusuhara,Hotel Babylon
Eiji Kusuhara,Confessions of a Diary Secretary
Eiji Kusuhara,Tokyo Jim
Eiji Kusuhara,Welsh Whelks
Eiji Kusuhara,Bushido: The Way of the Warrior
Eiji Kusuhara,Stratosphere Girl
Eiji Kusuhara,Emmerdale Farm
Eiji Kusuhara,Mister Mosquito
Eiji Kusuhara,Combat Sheep
Eiji Kusuhara,Randall & Hopkirk (Deceased)
Eiji Kusuhara,The Parole Officer
Eiji Kusuhara,World of Pub
Eiji Kusuhara,Casualty
Eiji Kusuhara,Armstrong and Miller
Eiji Kusuhara,Dalziel and Pascoe
Eiji Kusuhara,Shogun: Total War
Eiji Kusuhara,Topsy-Turvy
Eiji Kusuhara,Eyes Wide Shut
Eiji Kusuhara,Harry Hill
Eiji Kusuhara,Dinnerladies
Eiji Kusuhara,One Foot in the Grave
Eiji Kusuhara,Thief Takers
Eiji Kusuhara,Underworld
Eiji Kusuhara,Matt's Million
Eiji Kusuhara,Drop the Dead Donkey
Eiji Kusuhara,Alas Smith & Jones
Eiji Kusuhara,The All New Alexei Sayle Show
Eiji Kusuhara,Souvenir
Eiji Kusuhara,The 10%ers
Eiji Kusuhara,Gummed Labels
Eiji Kusuhara,Lovejoy
Eiji Kusuhara,Dunrulin
Eiji Kusuhara,The Paradise Club
Eiji Kusuhara,Omnibus
Eiji Kusuhara,KYTV
Eiji Kusuhara,The Ginger Tree
Eiji Kusuhara,Dark Obsession
Eiji Kusuhara,Last of the Summer Wine
Eiji Kusuhara,CBS Summer Playhouse
Eiji Kusuhara,Somewhere to Run
Eiji Kusuhara,Star Trap
Eiji Kusuhara,Sorry!
Eiji Kusuhara,Hot Metal
Eiji Kusuhara,Inspector Morse
Eiji Kusuhara,Small World
Eiji Kusuhara,Superman IV: The Quest for Peace
Eiji Kusuhara,Screen Two
Eiji Kusuhara,Half Moon Street
Eiji Kusuhara,A Very Peculiar Practice
Eiji Kusuhara,Gems
Eiji Kusuhara,All at Number 20
Eiji Kusuhara,Die Einsteiger
Eiji Kusuhara,Restless Natives
Eiji Kusuhara,Big Mäc
Eiji Kusuhara,Hilary
Eiji Kusuhara,The Man Who Shot Christmas
Eiji Kusuhara,Tenko
Eiji Kusuhara,Sharing Time
Eiji Kusuhara,Star Wars: Episode VI - Return of the Jedi
Eiji Kusuhara,Are You Being Served?
Eiji Kusuhara,Shelley
Eiji Kusuhara,Third Time Lucky
Eiji Kusuhara,Q.E.D.
Eiji Kusuhara,Doctor Who
Eiji Kusuhara,Terry and June
Eiji Kusuhara,The Gentle Touch
Eiji Kusuhara,Sir Henry at Rawlinson End
Eiji Kusuhara,The Elephant Man
Eiji Kusuhara,North Sea Hijack
Eiji Kusuhara,Spy!
Eiji Kusuhara,Cannon and Ball
Eiji Kusuhara,Undercover Lover
Eiji Kusuhara,Heartland
Eiji Kusuhara,A Family Affair
Eiji Kusuhara,The Dick Emery Show
Eiji Kusuhara,One Fine Day
Colin Hunt,Salome's Last Dance
Colin Hunt,Star Wars: Episode VI - Return of the Jedi
Colin Hunt,Star Wars: Episode V - The Empire Strikes Back
Carolyn Irving,Star Wars: Episode VI - Return of the Jedi
Carolyn Irving,Stop the World: I Want to Get Off
Monty Jordan,NCIS: Los Angeles
Monty Jordan,The Unit
Monty Jordan,Southland
Monty Jordan,Road of No Return
Monty Jordan,CSI: Crime Scene Investigation
Monty Jordan,JAG
Monty Jordan,The Streetsweeper
Monty Jordan,The King's Guard
Monty Jordan,The Dukes of Hazzard: Hazzard in Hollywood
Monty Jordan,Highlander
Monty Jordan,The Arrival
Monty Jordan,China Beach
Monty Jordan,Tour of Duty
Monty Jordan,Happy Hour
Monty Jordan,Opposing Force
Monty Jordan,T.J. Hooker
Monty Jordan,Top Gun
Monty Jordan,Airwolf
Monty Jordan,The A-Team
Monty Jordan,Hunter
Monty Jordan,Airwolf
Monty Jordan,Dynasty
Monty Jordan,Shooting Stars
Monty Jordan,Star Wars: Episode VI - Return of the Jedi
Monty Jordan,Matt Houston
Monty Jordan,The Dukes of Hazzard
Monty Jordan,The Fall Guy
Monty Jordan,Brubaker
Monty Jordan,Capricorn One
Monty Jordan,Close Encounters of the Third Kind
Velma Horne,Star Wars: Episode VI - Return of the Jedi
Jasper Jacob,Deceit
Jasper Jacob,Cursed
Jasper Jacob,The Crown
Jasper Jacob,Pennyworth
Jasper Jacob,White Gold
Jasper Jacob,Father Brown
Jasper Jacob,Victoria
Jasper Jacob,Decline and Fall
Jasper Jacob,Letters from Baghdad
Jasper Jacob,Harley and the Davidsons
Jasper Jacob,Call the Midwife
Jasper Jacob,New Tricks
Jasper Jacob,The Honorable Woman
Jasper Jacob,The Escape Artist
Jasper Jacob,Holby City
Jasper Jacob,The Iron Lady
Jasper Jacob,Appropriate Adult
Jasper Jacob,The Rite
Jasper Jacob,Land Girls
Jasper Jacob,EastEnders
Jasper Jacob,Peep Show
Jasper Jacob,Criminal Justice
Jasper Jacob,Wallander
Jasper Jacob,RocknRolla
Jasper Jacob,Burn Up
Jasper Jacob,"Hughie Green, Most Sincerely"
Jasper Jacob,The Whistleblowers
Jasper Jacob,Ultimate Force
Jasper Jacob,Walk Away and I Stumble
Jasper Jacob,Footprints in the Snow
Jasper Jacob,The Government Inspector
Jasper Jacob,Lie with Me
Jasper Jacob,The Bill
Jasper Jacob,Trevor's World of Sport
Jasper Jacob,Byron
Jasper Jacob,Casualty
Jasper Jacob,MI-5
Jasper Jacob,The Falklands Play
Jasper Jacob,Ali G Indahouse
Jasper Jacob,The Lost World
Jasper Jacob,The Cazalets
Jasper Jacob,The Hunt
Jasper Jacob,Real Women II
Jasper Jacob,Four Fathers
Jasper Jacob,All the King's Men
Jasper Jacob,Every Woman Knows a Secret
Jasper Jacob,A Certain Justice
Jasper Jacob,Mr. White Goes to Westminster
Jasper Jacob,The Investigator
Jasper Jacob,Touching Evil
Jasper Jacob,Harry Enfield and Chums
Jasper Jacob,Inspector Morse
Jasper Jacob,Screen Two
Jasper Jacob,Chandler & Co
Jasper Jacob,Time After Time
Jasper Jacob,The Brittas Empire
Jasper Jacob,Drop the Dead Donkey
Jasper Jacob,The House of Eliott
Jasper Jacob,Never the Twain
Jasper Jacob,The Piglet Files
Jasper Jacob,The Return of Shelley
Jasper Jacob,Till We Meet Again
Jasper Jacob,Chelworth
Jasper Jacob,The Man Who Lived at the Ritz
Jasper Jacob,Wish Me Luck
Jasper Jacob,Minder
Jasper Jacob,This Is David Lander
Jasper Jacob,Hale and Pace
Jasper Jacob,Who Dares Wins
Jasper Jacob,Chelmsford 123
Jasper Jacob,Freedom Fighter
Jasper Jacob,C.A.T.S. Eyes
Jasper Jacob,Half Moon Street
Jasper Jacob,Plenty
Jasper Jacob,Bulman
Jasper Jacob,Murder Not Proven?
Jasper Jacob,Star Wars: Episode VI - Return of the Jedi
Jasper Jacob,The Fourth Arm
Jasper Jacob,Privates on Parade
Jasper Jacob,Nancy Astor
Jasper Jacob,Friend or Foe
Jasper Jacob,The Devil's Crown
Jasper Jacob,Willow Cabins
Jasper Jacob,Shadows
Jasper Jacob,A Legacy
Jasper Jacob,The Turn of the Screw
Jasper Jacob,The Crocodile
Jasper Jacob,The Edwardians
Jasper Jacob,The Shadow of the Tower
Barrie Holland,King Ralph
Barrie Holland,Hamlet
Barrie Holland,Batman
Barrie Holland,Eat the Rich
Barrie Holland,Lifeforce
Barrie Holland,Morons from Outer Space
Barrie Holland,Star Wars: Episode VI - Return of the Jedi
Barrie Holland,The Wicked Lady
Barrie Holland,Reds
Barrie Holland,Indiana Jones and the Raiders of the Lost Ark
Barrie Holland,The Monster Club
Barrie Holland,The Final Conflict
Barrie Holland,Minder
Barrie Holland,The Elephant Man
Barrie Holland,The Shining
Barrie Holland,Nijinsky
Barrie Holland,Bloodline
Gerald Home,Where I Belong
Gerald Home,London Boulevard
Gerald Home,Chatroom
Gerald Home,Situation Critical
Gerald Home,Shane
Gerald Home,Paul Dreams of Bette
Gerald Home,Time Gentlemen Please
Gerald Home,Casualty
Gerald Home,Pay and Display
Gerald Home,Keeping Mum
Gerald Home,Harry's Mad
Gerald Home,The Boot Street Band
Gerald Home,Scarlet and Black
Gerald Home,Crimewatch File
Gerald Home,Jenny's War
Gerald Home,Star Wars: Episode VI - Return of the Jedi
Gerald Home,The Thirty Nine Steps
William Hoyland,Man in an Orange Shirt
William Hoyland,Unforgotten
William Hoyland,Rillington Place
William Hoyland,Call the Midwife
William Hoyland,The Increasingly Poor Decisions of Todd Margaret
William Hoyland,Saved
William Hoyland,Mr. Sloane
William Hoyland,Still Life
William Hoyland,The Thick of It
William Hoyland,The Hour
William Hoyland,Lead Balloon
William Hoyland,Holby City
William Hoyland,A Mighty Heart
William Hoyland,Time Trumpet
William Hoyland,Scoop
William Hoyland,Life on Mars
William Hoyland,Hunt for Justice
William Hoyland,Hellboy
William Hoyland,Justifying War: Scenes from the Hutton Enquiry
William Hoyland,Hitler of the Andes
William Hoyland,Henry VIII
William Hoyland,Dead Gorgeous
William Hoyland,The Jury
William Hoyland,The Cazalets
William Hoyland,The Alchemists
William Hoyland,All the King's Men
William Hoyland,Tube Tales
William Hoyland,The Colour of Justice
William Hoyland,Bugs
William Hoyland,Love Is the Devil: Study for a Portrait of Francis Bacon
William Hoyland,Invasion Earth
William Hoyland,Mr. White Goes to Westminster
William Hoyland,Lord of Misrule
William Hoyland,Screen Two
William Hoyland,Our Friends in the North
William Hoyland,Between the Lines
William Hoyland,Clarissa
William Hoyland,Casualty
William Hoyland,Die Kinder
William Hoyland,The Bill
William Hoyland,Dark Obsession
William Hoyland,Boon
William Hoyland,Gentlemen and Players
William Hoyland,Resurrected
William Hoyland,Hidden City
William Hoyland,Dramarama
William Hoyland,Yesterday's Dreams
William Hoyland,Fairly Secret Army
William Hoyland,Ladies in Charge
William Hoyland,Plenty
William Hoyland,The Brief
William Hoyland,Nelly's Version
William Hoyland,Birth of a Nation
William Hoyland,Star Wars: Episode VI - Return of the Jedi
William Hoyland,Gandhi
William Hoyland,The Brack Report
William Hoyland,For Your Eyes Only
William Hoyland,Emmerdale Farm
William Hoyland,Mackenzie
William Hoyland,Fox
William Hoyland,Edward & Mrs. Simpson
William Hoyland,All Creatures Great and Small
William Hoyland,Wodehouse Playhouse
William Hoyland,Play for Today
William Hoyland,Real Live Audience
William Hoyland,BBC2 Play of the Week
William Hoyland,The Duchess of Duke Street
William Hoyland,Esther Waters
William Hoyland,Dawnbreakers
William Hoyland,Dickens of London
William Hoyland,Arnhem: The Story of an Escape
William Hoyland,Bill Brand
William Hoyland,Coronation Street
William Hoyland,Red Letter Day
William Hoyland,Thriller
William Hoyland,Against the Crowd
William Hoyland,The Love School
William Hoyland,Second City Firsts
William Hoyland,Z Cars
William Hoyland,Skinflicker
William Hoyland,Away from It All
William Hoyland,Adult Fun
William Hoyland,The Ragman's Daughter
William Hoyland,Thirty-Minute Theatre
William Hoyland,Poem
William Hoyland,ITV Sunday Night Theatre
William Hoyland,Budgie
William Hoyland,In the Devil's Garden
William Hoyland,Paradigm
William Hoyland,Parkin's Patch
William Hoyland,Take Three Girls
William Hoyland,The Three Princes
William Hoyland,You're Human Like the Rest of Them
Philip Herbert,Delivery
Philip Herbert,Common Era
Philip Herbert,Mob Handed
Philip Herbert,Sparks and Embers
Philip Herbert,Forbidden History
Philip Herbert,The Hedgehog
Philip Herbert,The Spa
Philip Herbert,Tortoise in Love
Philip Herbert,Emmett & Ernie
Philip Herbert,City Rats
Philip Herbert,Coming Up
Philip Herbert,Trial & Retribution
Philip Herbert,Riot at the Rite
Philip Herbert,Live at the Apollo
Philip Herbert,All About George
Philip Herbert,Nova
Philip Herbert,A Very Social Secretary
Philip Herbert,Einstein's Big Idea
Philip Herbert,Peep Show
Philip Herbert,New Year's Eve
Philip Herbert,EastEnders
Philip Herbert,The Queen's Nose
Philip Herbert,Baddiel's Syndrome
Philip Herbert,Casualty
Philip Herbert,Sabotage!
Philip Herbert,Mystery!: Cadfael
Philip Herbert,The Bill
Philip Herbert,Terry and Julian
Philip Herbert,Carry on Columbus
Philip Herbert,Mr. Majeika
Philip Herbert,Sticky Moments with Julian Clary
Philip Herbert,Morris Minor's Marvellous Motors
Philip Herbert,My Family and Other Animals
Philip Herbert,Saturday Live
Philip Herbert,Christmas Present
Philip Herbert,The Pickwick Papers
Philip Herbert,Fanny Hill
Philip Herbert,Star Wars: Episode VI - Return of the Jedi
Philip Herbert,Victor Victoria
Mike Havord,Star Wars: Episode VI - Return of the Jedi
Mike Havord,Heavens Above!
Lynne Hazelden,Lenny Blue
Lynne Hazelden,Die Another Day
Lynne Hazelden,The American Embassy
Lynne Hazelden,Kevin & Perry Go Large
Lynne Hazelden,Trial & Retribution
Lynne Hazelden,Touching Evil
Lynne Hazelden,Absolute Beginners
Lynne Hazelden,Curse of the Pink Panther
Lynne Hazelden,Star Wars: Episode VI - Return of the Jedi
Lynne Hazelden,The Meaning of Life
Gordon Hann,Shady Tales
Gordon Hann,Rockliffe's Babies
Gordon Hann,Star Wars: Episode VI - Return of the Jedi
Gordon Hann,The Sweeney
Frank Henson,Catherine Tate's Nan
Frank Henson,The Film-Maker's Son
Frank Henson,Dot.Kill
Frank Henson,Down to Earth
Frank Henson,Barbara
Frank Henson,Fist of Fun
Frank Henson,Blue Ice
Frank Henson,The Bill
Frank Henson,Star Trap
Frank Henson,Half Moon Street
Frank Henson,Enemy Mine
Frank Henson,Top Secret!
Frank Henson,Star Wars: Episode VI - Return of the Jedi
Frank Henson,The Professionals
Frank Henson,Safari 3000
Frank Henson,Tales of the Unexpected
Frank Henson,Juliet Bravo
Frank Henson,The Dick Francis Thriller: The Racing Game
Frank Henson,Dracula
Frank Henson,Law & Order
Frank Henson,Blake's 7
Frank Henson,Target
Frank Henson,Star Wars: Episode IV - A New Hope
Frank Henson,Space: 1999
Frank Henson,The Sweeney
Frank Henson,Brannigan
Frank Henson,The Black Windmill
Frank Henson,Catweazle
Frank Henson,Where Eagles Dare
Frank Henson,Attack on the Iron Coast
Frank Henson,Z Cars
Frank Henson,Carry on Follow That Camel
Frank Henson,The Guns of Navarone
Poppy Hands,Juliet Bravo
Poppy Hands,Star Wars: Episode VI - Return of the Jedi
Poppy Hands,God Speed Co-operation
Walter Henry,Who Framed Roger Rabbit
Larry Holt,Last Man Standing
Walter Henry,The Living Daylights
Walter Henry,Still Crazy Like a Fox
Walter Henry,The Whistle Blower
Walter Henry,A View to a Kill
Walter Henry,Ellis Island
Walter Henry,Father's Day
Walter Henry,Top Secret!
Walter Henry,Rumpole of the Bailey
Walter Henry,Never Say Never Again
Walter Henry,Storyboard
Walter Henry,Octopussy
Walter Henry,Star Wars: Episode VI - Return of the Jedi
Walter Henry,Witness for the Prosecution
Walter Henry,Evil Under the Sun
Walter Henry,Blake's 7
Walter Henry,Winston Churchill: The Wilderness Years
Walter Henry,History of the World: Part I
Walter Henry,Are You Being Served?
Walter Henry,The Final Conflict
Walter Henry,Hammer House of Horror
Walter Henry,George and Mildred
Walter Henry,Star Wars: Episode V - The Empire Strikes Back
Walter Henry,Armchair Thriller
Walter Henry,Spy!
Walter Henry,Quatermass
Walter Henry,Hazell
Walter Henry,The Professionals
Walter Henry,Edward & Mrs. Simpson
Walter Henry,Carry on Emmannuelle
Walter Henry,The Big Sleep
Walter Henry,The New Avengers
Walter Henry,Sweeney!
Walter Henry,The Eagle Has Landed
Walter Henry,Voyage of the Damned
Walter Henry,Doctor Who
Walter Henry,The Slipper and the Rose: The Story of Cinderella
Walter Henry,Lisztomania
Walter Henry,Royal Flash
Walter Henry,Edward the King
Walter Henry,The Sweeney
Walter Henry,The Great McGonagall
Walter Henry,The Gathering Storm
Walter Henry,Stardust
Walter Henry,The Tamarind Seed
Walter Henry,Armchair Cinema
Walter Henry,Z Cars
Walter Henry,The Black Windmill
Walter Henry,Special Branch
Walter Henry,The Zoo Gang
Walter Henry,Colditz
Walter Henry,Mousey
Walter Henry,Undercovers Hero
Walter Henry,Frankenstein: The True Story
Walter Henry,The Protectors
Walter Henry,The Lovers!
Walter Henry,No Sex Please - We're British
Walter Henry,The MacKintosh Man
Walter Henry,The Wild Little Bunch
Walter Henry,Shadows of Fear
Walter Henry,New Scotland Yard
Walter Henry,Carry on Abroad
Walter Henry,Lady Caroline Lamb
Walter Henry,Villains
Walter Henry,Bless This House
Walter Henry,All Coppers Are...
Walter Henry,Carry on Matron
Walter Henry,Burke & Hare
Walter Henry,Dixon of Dock Green
Walter Henry,Mogul
Walter Henry,Carry on at Your Convenience
Walter Henry,Softly Softly: Task Force
Walter Henry,The Goodies
Walter Henry,The Persuaders!
Walter Henry,Doctor at Large
Walter Henry,Catweazle
Walter Henry,All the Way Up
Walter Henry,Monty Python's Flying Circus
Walter Henry,The Mind of Mr. Soames
Walter Henry,The Games
Walter Henry,Callan
Walter Henry,Curry & Chips
Walter Henry,Department S
Walter Henry,Strange Report
Walter Henry,Run a Crooked Mile
Walter Henry,My Partner the Ghost
Walter Henry,The First Churchills
Walter Henry,Fraud Squad
Walter Henry,The Italian Job
Walter Henry,Carry on Camping
Walter Henry,The Saint
Walter Henry,The Champions
Walter Henry,Carry on Up the Khyber
Walter Henry,The Jazz Age
Walter Henry,The High Commissioner
Walter Henry,Only When I Larf
Walter Henry,The Vengeance of She
Walter Henry,Smashing Time
Walter Henry,I'll Never Forget What's'isname
Walter Henry,Carry on Doctor
Larry Holt,Shaughnessy
Larry Holt,Extreme Justice
Larry Holt,Dynasty: The Reunion
Larry Holt,"Magnum, P.I."
Larry Holt,Best Seller
Larry Holt,Raw Deal
Larry Holt,Star Wars: Episode VI - Return of the Jedi
Larry Holt,Ace Crawford... Private Eye
Larry Holt,The Fall Guy
Larry Holt,Any Which Way You Can
Larry Holt,The Prisoner of Zenda
Larry Holt,Rollercoaster
Larry Holt,Man from Atlantis
Larry Holt,Sidecar Racers
Larry Holt,The Poseidon Adventure
Larry Holt,Flareup
Larry Holt,Act of Violence
Walter Henry,The Prisoner
Walter Henry,The Long Duel
Walter Henry,Casino Royale
Walter Henry,"Arrivederci, Baby!"
Walter Henry,The Spy with a Cold Nose
Walter Henry,Press for Time
Walter Henry,The Baron
Walter Henry,The Scales of Justice
Walter Henry,Time Lost and Time Remembered
Walter Henry,Seven Deadly Sins
Walter Henry,That Riviera Touch
Walter Henry,Alfie
Walter Henry,Gideon C.I.D.
Walter Henry,Blood Beast from Outer Space
Walter Henry,The Alphabet Murders
Walter Henry,Secret Agent
Walter Henry,The Liquidator
Walter Henry,The 2nd Best Secret Agent in the Whole Wide World
Walter Henry,A Study in Terror
Walter Henry,The Big Job
Walter Henry,Bunny Lake Is Missing
Walter Henry,You Must Be Joking!
Walter Henry,Rotten to the Core
Walter Henry,The Flying Swan
Walter Henry,The Edgar Wallace Mystery Theatre
Walter Henry,Public Eye
Walter Henry,Carry on Cleo
Walter Henry,The Human Jungle
Walter Henry,Redcap
Walter Henry,The Comedy Man
Walter Henry,Contest Girl
Walter Henry,A Shot in the Dark
Walter Henry,The Bargee
Walter Henry,Carry on Jack
Walter Henry,Sergeant Cork
Walter Henry,The Sentimental Agent
Walter Henry,Bitter Harvest
Walter Henry,West 11
Walter Henry,Espionage
Walter Henry,No Hiding Place
Walter Henry,Heavens Above!
Walter Henry,Wings of Mystery
Walter Henry,The Wrong Arm of the Law
Walter Henry,On the Beat
Walter Henry,Lolita
Walter Henry,Damn the Defiant!
Walter Henry,Maigret
Walter Henry,Operation Snafu
Walter Henry,Ghost Squad
Walter Henry,Death and the Sky Above
Walter Henry,Dentist on the Job
Walter Henry,The Square Mile Murder
Walter Henry,Three on a Spree
Walter Henry,Why Bother to Knock
Walter Henry,Danger Man
Walter Henry,The Green Helmet
Walter Henry,The Grand Junction Case
Walter Henry,Limes from Sicily
Walter Henry,Tunes of Glory
Walter Henry,There Was a Crooked Man
Walter Henry,The Brides of Dracula
Walter Henry,Trouble in the Sky
Walter Henry,Emma
Walter Henry,Never Take Candy from A Stranger
Walter Henry,Interpol Calling
Walter Henry,The Snorkel
Alan Harris,Star Wars: Episode I - The Phantom Menace
Alan Harris,Minder
Alan Harris,Who Framed Roger Rabbit
Alan Harris,Eat the Rich
Alan Harris,The Living Daylights
Alan Harris,Doctor Who
Alan Harris,Morons from Outer Space
Alan Harris,Top Secret!
Alan Harris,Bullshot Crummond
Alan Harris,Star Wars: Episode VI - Return of the Jedi
Alan Harris,The Final Option
Alan Harris,Only Fools and Horses
Alan Harris,Lady Chatterley's Lover
Alan Harris,Flash Gordon
Alan Harris,The Wildcats of St. Trinian's
Alan Harris,George and Mildred
Alan Harris,Rough Cut
Alan Harris,The Shining
Alan Harris,Star Wars: Episode V - The Empire Strikes Back
Alan Harris,Squeeze Play
Alan Harris,S.O.S. Titanic
Alan Harris,Hanover Street
Alan Harris,Superman
Alan Harris,The Professionals
Alan Harris,The Chosen
Alan Harris,1990
Alan Harris,Star Wars: Episode IV - A New Hope
Alan Harris,Space: 1999
Alan Harris,Alien Attack
Alan Harris,Voyage of the Damned
Alan Harris,Aces High
Alan Harris,One of Our Dinosaurs Is Missing
Alan Harris,Public Eye
Alan Harris,Man About the House
Alan Harris,The Man with the Golden Gun
Alan Harris,Stardust
Alan Harris,Craze
Alan Harris,QB VII
Alan Harris,The Pallisers
Alan Harris,Colditz
Alan Harris,The Protectors
Alan Harris,New Scotland Yard
Alan Harris,Hitler: The Last Ten Days
Alan Harris,Get Charlie Tully
Alan Harris,Carry on Abroad
Alan Harris,The Alf Garnett Saga
Alan Harris,Young Winston
Alan Harris,Carry on Matron
Alan Harris,A Clockwork Orange
Alan Harris,Carry on Henry VIII
Alan Harris,UFO
Alan Harris,Bartleby
Alan Harris,Scrooge
Alan Harris,Special Branch
Alan Harris,Carry on Again Doctor
Alan Harris,Journey to the Far Side of the Sun
Alan Harris,The Avengers
Alan Harris,The Dirty Dozen
Alan Harris,The Night of the Generals
Alan Harris,A Countess from Hong Kong
Alan Harris,Operation Crossbow
Alan Harris,Carry on Cruising
Nelson Hall,R2-D2: Beneath the Dome
Nelson Hall,Star Wars: Episode VI - Return of the Jedi
Nelson Hall,Star Wars: Episode IV - A New Hope
Anthony Guilding,Star Wars: Episode VI - Return of the Jedi
Anthony Guilding,Star Wars: Episode V - The Empire Strikes Back
Isaac Grand,The Love Child
Isaac Grand,Smart Money
Isaac Grand,Big Deal
Isaac Grand,Star Wars: Episode VI - Return of the Jedi
Isaac Grand,Play for Today
Isaac Grand,Star Wars: Episode IV - A New Hope
Isaac Grand,The Return of the Pink Panther
David Gonzales,Zero Patience
David Gonzales,Urinal
David Gonzales,Sudden Impact
David Gonzales,Star Wars: Episode VI - Return of the Jedi
Leroy Golding,Coming Up
Leroy Golding,More Than a Job's Worth
Leroy Golding,EastEnders
Leroy Golding,Magic Moments
Leroy Golding,Star Wars: Episode VI - Return of the Jedi
Leroy Golding,Star Wars: Episode V - The Empire Strikes Back
Stuart Fox,The Saint
Stuart Fox,Love Me Still
Stuart Fox,The Gospel of John
Stuart Fox,The Vice
Stuart Fox,The Scarlet Pimpernel
Stuart Fox,Casualty
Stuart Fox,Girls' Night
Stuart Fox,The Bill
Stuart Fox,Ruth Rendell Mysteries
Stuart Fox,Chef!
Stuart Fox,Backup
Stuart Fox,The Tomorrow People
Stuart Fox,Circle of Deceit
Stuart Fox,The Detectives
Stuart Fox,Love Hurts
Stuart Fox,Spatz
Stuart Fox,Making News
Stuart Fox,Sid and Nancy
Stuart Fox,Star Wars: Episode VI - Return of the Jedi
Stuart Fox,Maybury
Stuart Fox,Kiss the Girls and Make Them Cry
Stuart Fox,BBC Play of the Month
Ernie Fosselius,The Boys of 2010
Ernie Fosselius,Plan 9.1 from Outer Space
Ernie Fosselius,The Legend of Dragoon
Ernie Fosselius,Ernest Scared Stupid
Ernie Fosselius,Heat and Sunlight
Ernie Fosselius,Star Wars: Episode VI - Return of the Jedi
Ernie Fosselius,Porklips Now
Ernie Fosselius,Mr. Mike's Mondo Video
Ernie Fosselius,Hardware Wars
Douglas Farrell,CarnEvil Freak Show
Douglas Farrell,No Name and Dynamite Davenport
Douglas Farrell,Clown Fear
Douglas Farrell,The Mandalorian
Douglas Farrell,Super Horror Beat Down
Douglas Farrell,How to Be a Latin Lover
Douglas Farrell,Laid in America
Douglas Farrell,R.A. The Rugged Man: Media Midgets
Douglas Farrell,Hercules Saves Christmas
Douglas Farrell,Star Wars: Episode VI - Return of the Jedi
Ian Durrant,GoldenEye
Ian Durrant,Judge Dredd
Ian Durrant,Doctor Who
Ian Durrant,The Company of Wolves
Ian Durrant,Star Wars: Episode VI - Return of the Jedi
Ian Durrant,Clash of the Titans
Ian Durrant,Star Wars: Episode V - The Empire Strikes Back
Alan Flyng,Star Wars: Episode VI - Return of the Jedi
Alan Flyng,An American Werewolf in London
Alan Flyng,Star Wars: Episode V - The Empire Strikes Back
Michael Drew,The Jungle of Accounting
Michael Drew,Older
Michael Drew,The Bard's Tale IV: Barrows Deep
Michael Drew,Harrow
Michael Drew,Power Rangers Super Megaforce: The Legendary Battle
Michael Drew,Power Rangers Megaforce
Michael Drew,Power Rangers Mystic Force
Michael Drew,Power Rangers S.P.D.
Michael Drew,Judge John Deed
Michael Drew,Waking the Dead
Michael Drew,Dad'X
Michael Drew,Santa Claus: The Movie
Michael Drew,The District Nurse
Michael Drew,Scandalous
Michael Drew,Star Wars: Episode VI - Return of the Jedi
Michael Drew,"Love Is Old, Love Is New"
Michael Drew,Nancy Astor
Michael Drew,The Olympian Way
Michael Drew,The Enigma Files
Michael Drew,North Sea Hijack
Michael Drew,Kiss the Girls and Make Them Cry
Richard Driscoll,Assassins Revenge
Richard Driscoll,When the Devil Rides Out
Richard Driscoll,Friday
Richard Driscoll,Eldorado
Richard Driscoll,Capital Punishment
Richard Driscoll,It's a Casual Life
Richard Driscoll,Evil Calls: The Raven
Richard Driscoll,Kannibal
Richard Driscoll,The Bill
Richard Driscoll,Goodbye Charlie Bright
Richard Driscoll,EastEnders
Richard Driscoll,Respect
